NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Ленинский район;71052;"ООО ""Гефест""";Суркова;26;4937;;WP / WPH  (ZENNER) (германия);1105827;26.11.2013;1414           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Шуменская;20;6527;;МТК  / MTW (Zenner) (Германия);8490339;28.10.2013;1544           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Шуменская;47А;23837;;МТК / MTW (Zenner) (Германия);8489062;28.10.2013;1536           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Грибоедова;4;24061;;МТК  / MTW (Zenner) (Германия);8489982;28.10.2013;1533           
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Салютная;26А;24003;;МТК / MTW (Zenner) (Германия);8488938;28.10.2013;1542           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Шуменская;47;23836;;МТК / MTW (Zenner) (Германия);8488950;28.10.2013;1526           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;14;2746;;МТК / MTW (Zenner) (Германия);1310020642;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;4;5254;;МТК / MTW  (Zenner) (Германия);131001253;14.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;12;5739;;МТК / MTW (Zenner) (Германия);8489068;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;12А;5740;;МТК / MTW (Zenner) (Германия);8489054;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;18;2896;;МТК / MTW (Zenner) (Германия);1310020601;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;25;2378;;МТК  / MTW (Zenner) (Германия);1310021721;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;22;2386;;МТК / MTW (Zenner) (Германия);1310020912;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Титановая;1;3010;;МТК / MTW (Zenner) (Германия);8489023;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;8Б;5251;;МТК / MTW (Zenner) (Германия);1310020650;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;29А;2379;;МТК / MTW (Zenner) (Германия);1310020488;15.11.2013;2              
Курчатовский район;71187;"ООО УК ""СОЮЗ""";Победы;176;2527;;МТК  / MTW (Zenner) (Германия);1210055412;04.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;27;2372;;МТК  / MTW (Zenner) (Германия);1210055402;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;25А;2383;;МТК / MTW (Zenner) (Германия);1310020465;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;34А;5733;;МТК  / MTW (Zenner) (Германия);1210055411;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;29;2384;;МТК  / MTW (Zenner) (Германия);1310021680;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;27А;2374;;МТК / MTW (Zenner) (Германия);1310020486;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Куйбышева;86А;5627;;МТК / MTW (Zenner) (Германия);1310020907;13.11.2013;2              
Курчатовский район;71187;"ООО УК ""СОЮЗ""";Кыштымская;9А;2536;;МТК / MTW (Zenner) (Германия);8489000;04.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;52;643;;WP/WPH (ZENNER) (Германия);05061846;28.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чайковского;7;10369;;WP / WPH (ZENNER)(Германия);13007993;27.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Каслинская;36А;5806;;МТК / MTW (Zenner) (Германия);1310020911;15.11.2013;11408          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;6;641;;МТК / MTW (Zenner) (Германия);8488919;23.10.2013;2              
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Кулибина;13;23859;;МТК  / MTW (Zenner) (Германия);1310020639;28.11.2013;1820           
Центральный район;71134;"ТСЖ ""Ленина-73""";Ленина;73;1897;;WP/WPH (ZENNER) (Германия);05061677;22.11.2013;00761          
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;14;20147;;WP/WPH (ZENNER) (Германия);05061034;30.09.2013;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;8;20139;;МТК / MTW (Zenner) (Германия);1310016639;30.09.2013;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;3;20146;;МТК / MTW (Zenner) (Германия);1310016725;30.09.2013;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Бурденюка;23;20157;;WP/WPH (ZENNER) (Германия);05061635;30.09.2013;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Бурденюка;11;20152;;МТК / MTW (Zenner) (Германия);1310016742;30.09.2013;4              
Курчатовский район;71103;"ООО УК ""Строитель-97""";Комсомольский;62А;14111;;WP/WPH (ZENNER) (Германия);05061222;28.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;188;2530;;МТК / MTW (Zenner) (Германия);8489048;21.11.2013;10009          
Курчатовский район;71057;"ООО ПК ""Коммунальщик""";Захаренко;5А;20656;;МТК / MTW (Zenner) (Германия);8527382;22.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;6А;42370;;МТК / MTW (Zenner) (Германия);1310020909;13.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;10Б;42371;;МТК / MTW (Zenner) (Германия);1310020906;13.11.2013;2              
Курчатовский район;71105;"ООО УК ""Урал-Сити""";Солнечная;40;3024;;МТК / MTW (Zenner) (Германия);8489037;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;22;10224;;МТК / MTW (Zenner) (Германия);1310020645;15.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;378А;2678;;WP / WPH (ZENNER)(Германия);13008116;13.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;378А;4627;;WP / WPH (ZENNER)(Германия);13008188;13.11.2013;13557          
